Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55338968,The Cold Start Problem,Andrew Chen,"Chen, Andrew",,0062969749,9780062969743,0,4.22,Harper Business,Hardcover,386,2021,,,10/29/2022,,,read,,,,1,0
51475209,Small Pleasures,Clare Chambers,"Chambers, Clare",,1474613888,9781474613880,3,3.83,Weidenfeld & Nicolson,Hardcover,352,2021,2021,,9/21/2022,,,read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,0062407805,9780062407801,4,4.37,Harper Business,Hardcover,274,2016,2016,,2/6/2022,,,read,,,,1,0
54650835,Postcapitalist Desire: The Final Lectures,Mark Fisher,"Fisher, Mark",Matt Colquhoun,,,4,4.3,,,211,2020,2020,3/2/2022,2/17/2022,,,read,"very illuminating in certain parts, but there're a lot of philosophical references in there that I can't catch up with. will have a re-read later on.",,,1,0
44581535,"Find Me (Call Me By Your Name, #2)",André Aciman,"Aciman, André",,0374155011,9780374155018,4,3.28,"Farrar, Straus and Giroux",Hardcover,260,2019,2019,,1/21/2020,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,0525562028,9780525562023,4,4.05,Penguin Press,Hardcover,246,2019,2019,1/15/2020,10/9/2019,,,read,,,,1,0
16284971,Left Hemisphere: Mapping Contemporary Theory,Razmig Keucheyan,"Keucheyan, Razmig",Gregory Elliott,1781681023,9781781681022,4,4.18,Verso,Hardcover,304,2013,2010,2/3/2022,2/19/2021,,,read,"tonnes of interesting ideas but given my lack of background knowledge, i could only absorb like 60% of what’s in the book… still, if you’re majoring in sociology, or philosophy, this would still be a great read to get an overview of the existing landscape.",,,1,0
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,,,4,4.12,HarperCollins Canada ,Hardcover,247,2008,2008,5/18/2021,5/11/2021,,,read,,,,1,0
19170383,The Waves,Virginia Woolf,"Woolf, Virginia",,,9788074844997,0,4.15,e-artnow ebooks,Kindle Edition,172,2013,1931,,8/20/2020,to-read,to-read (#104),to-read,,,,1,0
12091253,Mẫu thượng ngàn,Nguyễn Xuân Khánh,"Khánh, Nguyễn Xuân",,,,4,4.36,NXB Phụ nữ,Paperback,,2006,2006,8/4/2021,8/4/2021,,,read,,,,1,0
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,1591847788,9781591847786,3,4.1,Portfolio,Hardcover,256,2014,2013,,9/19/2022,,,read,,,,1,0
6885191,Start-up Nation: The Story of Israel's Economic Miracle,Dan Senor,"Senor, Dan",Saul Singer,044654146X,9780446541466,4,4.1,Twelve,Hardcover,304,2009,2009,,9/16/2022,,,read,,,,1,0
428,Play It As It Lays,Joan Didion,"Didion, Joan",David  Thomson,0374529949,9780374529949,3,3.91,"Farrar, Straus and Giroux",Paperback,231,2005,1970,,9/15/2022,,,read,,,,1,0
6214316,The Lords of Strategy: The Secret Intellectual History of the New Corporate World,Walter Kiechel III,"III, Walter Kiechel",,1591397820,9781591397823,0,3.96,Harvard Business Press,Hardcover,368,2010,2009,,9/14/2022,to-read,to-read (#103),to-read,,,,0,0
40710184,HBR Guide to Thinking Strategically (HBR Guide Series),Harvard Business Review,"Review, Harvard Business",,,,3,3.91,Harvard Business Review Press,Kindle Edition,304,2018,,,9/8/2022,,,read,,,,1,0
676610,How To Get Into the Top MBA Programs,Richard Montauk,"Montauk, Richard",,0735204233,9780735204232,3,3.98,Prentice Hall Press,Paperback,672,2007,,,6/10/2022,,,read,,,,1,0
339513,Schopenhauer as Educator,Friedrich Nietzsche,"Nietzsche, Friedrich",,0895269503,9780895269508,4,3.92,Regnery Pub,paperback,144,,1874,,8/28/2022,,,read,,,,1,0
