Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50935043,Sevastopol in May,Leo Tolstoy,"Tolstoy, Leo",,"=""""","=""""",5,3.33,,,,,1985,,2022/04/26,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.41,Crown,Hardcover,384,2014,2011,,2022/04/26,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",3,4.11,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,,2022/04/26,,,read,,,,1,0
6780702,"The Rise of Renegade X (Renegade X, #1)",Chelsea M. Campbell,"Campbell, Chelsea M.",,"=""1606840606""","=""9781606840603""",3,3.89,EgmontUSA,Hardcover,352,2010,2010,,2022/04/26,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.98,Simon & Schuster,Kindle Edition,194,2011,1953,,2022/04/26,to-read,to-read (#1),to-read,,,,0,0
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",3,4.13,Feiwel & Friends,Hardcover,400,2012,2012,,2022/04/26,,,read,,,,1,0
29345470,"The Outlaw: Origins (The Outlaw, #1)",Alan Janney,"Janney, Alan",,"=""""","=""""",4,4.16,Sparkle Press,Kindle Edition,318,2015,2015,,2022/04/26,,,read,,,,1,0
30739285,Awakening (The ANOM Series #1),Jason R. James,"James, Jason R.",,"=""""","=""""",3,3.95,,Kindle Edition,364,2016,,,2022/04/26,,,read,,,,1,0
36576608,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",5,4.18,,Paperback,216,,1959,,2022/04/26,,,read,,,,1,0
37526,Henry V,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Michael Neill","=""0743484878""","=""9780743484879""",2,3.86,Washington Square Press,Paperback,294,2004,1599,,2022/04/26,,,read,,,,1,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Rockwell Kent, Walter Jerrold, Don Hagen, Sara Gioacchino Corcos","=""0486266893""","=""9780486266893""",3,3.77,Dover Publications,Paperback,129,1991,1759,,2022/04/26,,,read,,,,1,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia","Eudora Welty, جرجس منسي","=""""","=""""",3,3.79,Harvest Books,Paperback,209,1989,1927,,2022/04/26,,,read,,,,1,0
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""9781400033416""",4,3.92,Vintage,Kindle Edition,324,2004,1987,,2022/04/26,,,read,,,,1,0
152382,"Mary Poppins Comes Back (Mary Poppins, #2)",P.L. Travers,"Travers, P.L.",Mary Shepard,"=""0152058168""","=""9780152058166""",4,4.01,Clarion Books,Hardcover,312,2006,1935,,2022/01/06,,,read,,,,1,0
152380,"Mary Poppins (Mary Poppins, #1)",P.L. Travers,"Travers, P.L.","Gülten Suveren, Júlia Sardà, Mary   Shepard","=""0152058109""","=""9780152058104""",4,4.02,Clarion Books,Hardcover,209,2006,1934,,2022/01/06,,,read,,,,1,0
29936927,The Best We Could Do,Thi Bui,"Bui, Thi",,"=""1419718770""","=""9781419718779""",3,4.38,Harry N. Abrams,Hardcover,329,2017,2017,,2022/01/06,,,read,,,,1,0
22537313,Allegiant: The Ultimate Interactive Quiz Book,Sarah Davids,"Davids, Sarah",,"=""""","=""""",3,4.05,QuizEbooks.com,Kindle Edition,,2014,2014,,2022/01/06,,,read,,,,1,0
23452896,Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,Jackson Lanzing,"Lanzing, Jackson","Collin P. Kelly, James Dashner","=""1608867501""","=""9781608867509""",4,4.19,KaBOOM!,Paperback,96,2015,2015,,2022/01/06,,,read,,,,1,0
25987085,Maze Runner: The Death Cure: The Official Graphic Novel Prelude,Eric Carrasco,"Carrasco, Eric","Jackson Lanzing, Collin Kelly, Kendall Goode, Nick Robles","=""1608868265""","=""9781608868261""",3,4.25,KaBOOM!,Paperback,96,2017,2017,,2022/01/06,,,read,,,,1,0
18469079,Divergent Official Illustrated Movie Companion,Kate Egan,"Egan, Kate",,"=""0062315633""","=""9780062315632""",3,4.33,Katherine Tegen Books,ebook,160,2014,2014,,2022/01/06,,,read,,,,1,0
17623910,Catching Fire: The Official Illustrated Movie Companion,Kate Egan,"Egan, Kate",,"=""0545599334""","=""9780545599337""",4,4.51,Scholastic Inc.,Paperback,160,2013,2013,,2022/01/06,,,read,,,,1,0
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",2,4.10,HarperTeen,Hardcover,336,2012,2012,,2022/01/06,,,read,,,,1,0
17886233,"Sensation (Kid Sensation, #1)",Kevin Hardman,"Hardman, Kevin",,"=""""","=""""",4,4.06,I&H Recherche Publishing,Kindle Edition,206,2013,2013,,2022/01/06,,,read,,,,1,0
18692289,"Meta (Meta, #1)",Tom   Reynolds,"Reynolds, Tom",,"=""1492263710""","=""9781492263715""",3,3.83,Createspace Independent Publishing Platform,Paperback,229,2013,2013,,2022/01/06,,,read,,,,1,0
